NumNacional,Nombre,NombreJapo,Evoluciona,Generación,Categoría,Tipos,Habilidad,Hab.Oculta,Peso,Altura,GrupoHuevo,Sexo,Color,PS_Max,At_Max,Def_Max,AtEsp_Max,DefEsp_Max,Vel_Max,PE_PS,PE_At,PE_Def,PE_AtEsp,PE_DefEsp,PE_Vel
11,Metapod,トランセル (Transel),1,Primera,Capullo,bicho,Mudar,,"9,9","0,7",Bicho,50%|50%,Verde,304,152,229,163,163,174,0,0,2,0,0,0
12,Butterfree,バタフリー (Butterfree),0,Primera,Mariposa,bicho|volador,Ojo compuesto,Cromolente,32,"1,1",Bicho,50%|50%,Blanco,324,207,218,306,284,262,0,0,0,2,1,0
13,Weedle,ビードル (Beedle),1,Primera,Oruga,bicho|veneno,Polvo escudo,Fuga,"3,2","0,3",Bicho,50%|50%,Marrón,284,185,174,152,152,218,0,0,0,0,0,1
14,Kakuna,コクーン (Cocoon),1,Primera,Capullo,bicho|veneno,Mudar,,10,"0,6",Bicho,50%|50%,Amarillo,294,163,218,163,163,185,0,0,2,0,0,0
15,Beedrill,スピアー (Spear),0,Primera,Abeja Veneno2,bicho|veneno,Enjambre,Francotirador,"29,5",1,Bicho,50%|50%,Amarillo,334,284,196,207,284,273,0,2,0,0,1,0
16,Pidgey,ポッポ (Poppo),1,Primera,Pajarito,normal|volador,Vista lince|Tumbos2,Sacapecho,"1,8","0,3",Volador,50%|50%,Marrón,284,207,196,185,185,232,0,0,0,0,0,1
17,Pidgeotto,ピジョン (Pigeon),1,Primera,Pájaro,normal|volador,Vista lince|Tumbos2,Sacapecho,30,"1,1",Volador,50%|50%,Marrón,330,240,229,218,218,265,0,0,0,0,0,2
18,Pidgeot,ピジョット (Pigeot),0,Primera,Pájaro,normal|volador,Vista lince|Tumbos2,Sacapecho,"39,5","1,5",Volador,50%|50%,Marrón,370,284,273,262,262,309,0,0,0,0,0,3
19,Rattata,コラッタ (Koratta),1,Primera,Ratón2,normal,Fuga|Agallas,Entusiasmo,"3,5","0,3",Campo,50%|50%,Morado,264,232,185,163,185,267,0,0,0,0,0,1
20,Raticate,ラッタ (Ratta),0,Primera,Ratón2,normal,Fuga|Agallas,Entusiasmo,"18,5","0,7",Campo,50%|50%,Marrón,314,287,240,218,262,322,0,0,0,0,0,2
21,Spearow,オニスズメ (Onisuzume),1,Primera,Pajarito,normal|volador,Vista lince,Francotirador,2,"0,3",Volador,50%|50%,Marrón,284,240,174,177,177,262,0,0,0,0,0,1
22,Fearow,オニドリル (Onidrill),0,Primera,Pico,normal|volador,Vista lince,Francotirador,38,"1,2",Volador,50%|50%,Marrón,334,306,251,243,243,328,0,0,0,0,0,2
23,Ekans,アーボ (Arbo),1,Primera,Serpiente,veneno,Intimidación|Mudar,Nerviosismo,"6,9",2,Campo|Dragón,50%|50%,Morado,274,240,205,196,227,229,0,1,0,0,0,0
24,Arbok,アーボック (Arbok),0,Primera,Cobra,veneno,Intimidación|Mudar,Nerviosismo,65,"3,5",Campo|Dragón,50%|50%,Morado,324,295,260,251,282,284,0,2,0,0,0,0
25,Pikachu,ピカチュウ (Pikachu),1,Primera,Ratón,eléctrico,Electricidad estática,Pararrayos,6,"0,4",Campo|Hada,50%|50%,Amarillo,274,229,196,218,218,306,0,0,0,0,0,2
26,Raichu,ライチュウ (Raichu),1,Primera,Ratón,eléctrico,Electricidad estática,Pararrayos,30,"0,8",Campo|Hada,50%|50%,Amarillo,324,306,229,306,284,350,0,0,0,0,0,3
27,Sandshrew,サンド (Sand),1,Primera,Ratón,tierra,Velo arena,Ímpetu arena,12,"0,6",Campo,50%|50%,Amarillo,304,273,295,152,174,196,0,0,1,0,0,0
28,Sandslash,サンドパン (Sandpan),0,Primera,Ratón,tierra,Velo arena,Ímpetu arena,"29,5",1,Campo,50%|50%,Amarillo,354,328,350,207,229,251,0,0,2,0,0,0
29,Nidoran♀,ニドラン♀ (Nidoran♀),1,Primera,Pin veneno,veneno,Punto tóxico|Rivalidad2,Entusiasmo,7,"0,4",Monstruo|Campo,0%|100%,Azul,314,212,223,196,196,199,1,0,0,0,0,0
30,Nidorina,ニドリーナ (Nidorina),1,Primera,Pin veneno,veneno,Punto tóxico|Rivalidad2,Entusiasmo,20,"0,8",Desconocido,0%|100%,Azul,344,245,256,229,229,232,2,0,0,0,0,0
31,Nidoqueen,ニドクイン (Nidoqueen),0,Primera,Taladro,veneno|tierra,Punto tóxico|Rivalidad2,Potencia bruta,60,"1,3",Desconocido,0%|100%,Azul,384,311,300,273,295,276,3,0,0,0,0,0
32,Nidoran♂,ニドラン♂ (Nidoran♂),1,Primera,Pin veneno,veneno,Punto tóxico|Rivalidad2,Entusiasmo,9,"0,5",Monstruo|Campo,100%|0%,Morado,296,234,196,196,196,218,0,1,0,0,0,0
33,Nidorino,ニドリーノ (Nidorino),1,Primera,Pin veneno,veneno,Punto tóxico|Rivalidad2,Entusiasmo,"19,5","0,9",Monstruo|Campo,100%|0%,Morado,326,267,234,229,229,251,0,2,0,0,0,0
34,Nidoking,ニドキング (Nidoking),0,Primera,Taladro,veneno|tierra,Punto tóxico|Rivalidad2,Potencia bruta,62,"1,4",Monstruo|Campo,100%|0%,Morado,366,333,278,295,273,295,0,3,0,0,0,0
35,Clefairy,ピッピ (Pippi),1,Primera,Hada,hada,Gran encanto|Muro mágico2,Compiescolta,"7,5","0,6",Hada,25%|75%,Rosa,344,207,214,240,251,185,2,0,0,0,0,0
36,Clefable,ピクシー (Pixy),0,Primera,Hada,hada,Gran encanto|Muro mágico3,Ignorante,40,"1,3",Hada,25%|75%,Rosa,394,262,269,317,306,240,3,0,0,0,0,0
37,Vulpix,ロコン (Rokon),1,Primera,Zorro,fuego,Absorbe fuego,Sequía,"9,9","0,6",Campo,25%|75%,Marrón,280,199,196,218,251,251,0,0,0,0,0,1
38,Ninetales,キュウコン (Kyukon),0,Primera,Zorro,fuego,Absorbe fuego,Sequía,"19,9","1,1",Campo,25%|75%,Amarillo,350,276,273,287,328,328,0,0,0,0,1,1
39,Jigglypuff,プリン (Purin),1,Primera,Globo,normal|hada,Gran encanto|Tenacidad3,Compiescolta,"5,5","0,5",Hada,25%|75%,Rosa,434,207,152,207,163,152,2,0,0,0,0,0
40,Wigglytuff,プクリン (Pukurin),0,Primera,Globo,normal|hada,Gran encanto|Tenacidad2,Cacheo,12,1,Hada,25%|75%,Rosa,484,262,207,295,218,207,3,0,0,0,0,0
41,Zubat,ズバット (Zubat),1,Primera,Murciélago,veneno|volador,Fuerza mental,Allanamiento,"7,5","0,8",Volador,50%|50%,Morado,284,207,185,174,196,229,0,0,0,0,0,1
42,Golbat,ゴルバット (Golbat),1,Primera,Murciélago,veneno|volador,Fuerza mental,Allanamiento,55,"1,6",Volador,50%|50%,Morado,354,284,262,251,273,306,0,0,0,0,0,2
43,Oddish,ナゾノクサ (Nazonokusa),1,Primera,Hierbajo2,planta|veneno,Clorofila,Fuga,"5,4","0,5",Planta,50%|50%,Azul,294,218,229,273,251,174,0,0,0,1,0,0
44,Gloom,クサイハナ (Kusaihana),1,Primera,Hierbajo2,planta|veneno,Clorofila,Hedor,"8,6","0,8",Planta,50%|50%,Azul,324,251,262,295,273,196,0,0,0,2,0,0
45,Vileplume,ラフレシア (Ruffresia),0,Primera,Flor,planta|veneno,Clorofila,Efecto espora,"18,6","1,2",Planta,50%|50%,Rojo,354,284,295,350,306,218,0,0,0,3,0,0
46,Paras,パラス (Paras),1,Primera,Hongo,bicho|planta,Efecto espora|Piel seca2,Humedad,"5,4","0,3",Bicho|Planta,50%|50%,Rojo,274,262,229,207,229,163,0,1,0,0,0,0
47,Parasect,パラセクト (Parasect),0,Primera,Hongo,bicho|planta,Efecto espora|Piel seca2,Humedad,"29,5",1,Bicho|Planta,50%|50%,Rojo,324,317,284,240,284,174,0,2,1,0,0,0
48,Venonat,コンパン (Kongpang),1,Primera,Insecto,bicho|veneno,Ojo compuesto|Cromolente2,Fuga,30,1,Bicho,50%|50%,Morado,324,229,218,196,229,207,0,0,0,0,1,0
49,Venomoth,モルフォン (Morphon),0,Primera,Polilla Venenosa2,bicho|veneno,Polvo escudo|Cromolente3,Piel milagro,"12,5","1,5",Bicho,50%|50%,Morado,344,251,240,306,273,306,0,0,0,1,0,1
50,Diglett,ディグダ (Digda),1,Primera,Topo,tierra,Velo arena|Trampa arena,Poder arena,"0,8","0,2",Campo,50%|50%,Marrón,224,229,163,185,207,317,0,0,0,0,0,1
51,Dugtrio,ダグトリオ (Dugtrio),0,Primera,Topo,tierra,Velo arena|Trampa arena,Poder arena,"33,3","0,7",Campo,50%|50%,Marrón,274,328,218,218,262,372,0,0,0,0,0,2
52,Meowth,ニャース (Nyarth),1,Primera,Gato araña,normal,Recogida|Experto2,Nerviosismo,"4,2","0,4",Campo,50%|50%,Amarillo,284,207,185,196,196,306,0,0,0,0,0,1
53,Persian,ペルシアン (Persian),0,Primera,Gato fino,normal,Flexibilidad|Experto2,Nerviosismo,32,1,Campo,50%|50%,Amarillo,334,262,240,251,251,361,0,0,0,0,0,2
54,Psyduck,コダック (Koduck),1,Primera,Pato,agua,Humedad|Aclimatación,Nado rápido,"19,6","0,8",Campo|Agua 1,50%|50%,Amarillo,304,223,214,251,218,229,0,0,0,1,0,0
55,Golduck,ゴルダック (Golduck),0,Primera,Pato,agua,Humedad|Aclimatación,Nado rápido,"76,6","1,7",Agua 1|Campo,50%|50%,Azul,364,289,280,317,284,295,0,0,0,2,0,0
56,Mankey,マンキー (Mankey),1,Primera,Mono cerdo,lucha,Espíritu vital|Irascible2,Competitivo,28,"0,5",Campo,50%|50%,Marrón,284,284,185,185,207,262,0,1,0,0,0,0
57,Primeape,オコリザル (Okorizaru),1,Primera,Mono cerdo,lucha,Espíritu vital|Irascible2,Competitivo,32,1,Campo,50%|50%,Marrón,334,339,240,240,262,317,0,2,0,0,0,0
58,Growlithe,ガーディ (Gardie),1,Primera,Perrito,fuego,Intimidación|Absorbe fuego,Justiciero,19,"0,7",Campo,75%|25%,Marrón,314,262,207,262,218,240,0,1,0,0,0,0
59,Arcanine,ウインディ (Windie),0,Primera,Leyenda1,fuego,Intimidación|Absorbe fuego,Justiciero,155,"1,9",Campo,75%|25%,Marrón,384,350,284,328,284,317,0,2,0,0,0,0
60,Poliwag,ニョロモ (Nyoromo),1,Primera,Renacuajo,agua,Absorbe agua|Humedad,Nado rápido,"12,4","0,6",Agua 1,50%|50%,Azul,284,218,196,196,196,306,0,0,0,0,0,1
61,Poliwhirl,ニョロゾ (Nyorozo),1,Primera,Renacuajo,agua,Absorbe agua|Humedad,Nado rápido,20,1,Agua 1,50%|50%,Azul,334,251,251,218,218,306,0,0,0,0,0,2
62,Poliwrath,ニョロボン (Nyorobon),0,Primera,Renacuajo,agua|lucha,Absorbe agua|Humedad,Nado rápido,54,"1,3",Agua 1,50%|50%,Azul,384,317,317,262,306,262,0,0,3,0,0,0
63,Abra,ケーシィ (Casey),1,Primera,Psi,psíquico,Sincronía|Fuerza mental,Muro mágico,"19,5","0,9",Humanoide,75%|25%,Marrón,254,152,141,339,229,306,0,0,0,1,0,0
64,Kadabra,ユンゲラー (Yungerer),1,Primera,Psi,psíquico,Fuerza mental|Sincronía,Muro mágico,"56,5","1,3",Humanoide,75%|25%,Marrón,284,185,174,372,262,339,0,0,0,2,0,0
65,Alakazam,フーディン (Foodin),0,Primera,Psi,psíquico,Fuerza mental|Sincronía,Muro mágico,48,"1,5",Humanoide,75%|25%,Marrón,314,218,207,405,317,372,0,0,0,3,0,0
66,Machop,ワンリキー (Wanriky),1,Primera,Superpoder,lucha,Agallas|Indefenso1,Impasible,"19,5","0,8",Humanoide,75%|25%,Gris,344,284,218,185,185,185,0,1,0,0,0,0
67,Machoke,ゴーリキー (Goriky),1,Primera,Superpoder,lucha,Agallas|Indefenso1,Impasible,"70,5","1,5",Humanoide,75%|25%,Gris,364,328,262,218,240,207,0,2,0,0,0,0
68,Machamp,カイリキー (Kairiky),0,Primera,Superpoder,lucha,Agallas|Indefenso1,Impasible,130,"1,6",Humanoide,75%|25%,Gris,384,394,284,251,295,229,0,3,0,0,0,0
69,Bellsprout,マダツボミ (Madatsubomi),1,Primera,Flor,planta|veneno,Clorofila,Gula,4,"0,7",Planta,50%|50%,Verde,304,273,185,262,174,196,0,1,0,0,0,0
70,Weepinbell,ウツドン (Utsudon),1,Primera,Atrapamoscas1,planta|veneno,Clorofila,Gula,"6,4",1,Planta,50%|50%,Verde,334,306,218,295,207,229,0,2,0,0,0,0
71,Victreebel,ウツボット (Utsubot),0,Primera,Atrapamoscas1,planta|veneno,Clorofila,Gula,"15,5","1,7",Planta,50%|50%,Verde,364,339,251,328,262,262,0,3,0,0,0,0
72,Tentacool,メノクラゲ (Menokurage),1,Primera,Medusa,agua|veneno,Cuerpo puro|Viscosecreción,Cura lluvia,"45,5","0,9",Agua 3,50%|50%,Azul,284,196,185,218,328,262,0,0,0,0,1,0
73,Tentacruel,ドククラゲ (Dokukurage),0,Primera,Medusa,agua|veneno,Cuerpo puro|Viscosecreción,Cura lluvia,55,"1,6",Agua 3,50%|50%,Azul,364,262,251,284,372,328,0,0,0,0,2,0
74,Geodude,イシツブテ (Ishitsubute),1,Primera,Roca,roca|tierra,Cabeza roca|Robustez,Velo arena,20,"0,4",Mineral,50%|50%,Marrón,284,284,328,174,174,152,0,0,1,0,0,0
75,Graveler,ゴローン (Golone),1,Primera,Roca,roca|tierra,Cabeza roca|Robustez,Velo arena,105,1,Mineral,50%|50%,Marrón,314,317,361,207,207,185,0,0,2,0,0,0
76,Golem,ゴローニャ (Golonya),0,Primera,Megatón,roca|tierra,Cabeza roca|Robustez,Velo arena,300,"1,4",Mineral,50%|50%,Marrón,364,350,394,229,251,207,0,0,3,0,0,0
77,Ponyta,ポニータ (Ponyta),1,Primera,Caballo Fuego1,fuego,Fuga|Absorbe fuego,Cuerpo llama,30,1,Campo,50%|50%,Amarillo,304,295,229,251,251,306,0,0,0,0,0,1
78,Rapidash,ギャロップ (Gallop),0,Primera,Caballo Fuego1,fuego,Fuga|Absorbe fuego,Cuerpo llama,95,"1,7",Campo,50%|50%,Amarillo,334,328,262,284,284,339,0,0,0,0,0,2
79,Slowpoke,ヤドン (Yadon),1,Primera,Atontado,agua|psíquico,Despiste|Ritmo propio,Regeneración,36,"1,2",Monstruo|Agua 1,50%|50%,Rosa,384,251,251,196,196,141,1,0,0,0,0,0
80,Slowbro,ヤドラン (Yadoran),0,Primera,Ermitaño,agua|psíquico,Despiste|Ritmo propio,Regeneración,"78,5","1,6",Monstruo|Agua 1,50%|50%,Rosa,394,273,350,328,284,174,0,0,2,0,0,0
81,Magnemite,コイル (Coil),1,Primera,Imán,eléctrico|acero,Imán|Robustez,Cálculo final,6,"0,3",Mineral,Sin sexo,Gris,254,185,262,317,229,207,0,0,0,1,0,0
82,Magneton,レアコイル (Rarecoil),1,Primera,Imán,eléctrico|acero,Imán|Robustez,Cálculo final,60,1,Mineral,Sin sexo,Gris,304,240,317,372,262,262,0,0,0,2,0,0
83,Farfetch'd,カモネギ (Kamonegi),1,Primera,Pato Salvaje1,normal|volador,Vista lince|Fuerza mental,Competitivo,15,"0,8",Volador|Campo,50%|50%,Marrón,308,306,229,236,245,240,0,1,0,0,0,0
84,Doduo,ドードー (Dodo),1,Primera,Ave gemela,normal|volador,Fuga|Madrugar,Tumbos,"39,2","1,4",Volador,50%|50%,Marrón,274,295,207,185,185,273,0,1,0,0,0,0
85,Dodrio,ドードリオ (Dodorio),0,Primera,Ave triple,normal|volador,Fuga|Madrugar,Tumbos,"85,2","1,8",Volador,50%|50%,Marrón,324,350,262,240,240,328,0,2,0,0,0,0
86,Seel,パウワウ (Pawou),1,Primera,León Marino1,agua,Sebo|Hidratación2,Gélido,90,"1,1",Agua 1|Campo,50%|50%,Blanco,334,207,229,207,262,207,0,0,0,0,1,0
87,Dewgong,ジュゴン (Jugon),0,Primera,León Marino1,agua|hielo,Sebo|Hidratación2,Gélido,120,"1,7",Agua 1|Campo,50%|50%,Blanco,384,262,284,262,317,262,0,0,0,0,2,0
88,Grimer,ベトベター (Betbeter),1,Primera,Lodo,veneno,Hedor|Viscosidad,Toque tóxico,30,"0,9",Amorfo,50%|50%,Morado,364,284,218,196,218,163,1,0,0,0,0,0
89,Muk,ベトベトン (Betbeton),0,Primera,Lodo,veneno,Hedor|Viscosidad,Toque tóxico,30,"1,2",Amorfo,50%|50%,Morado,414,339,273,251,328,218,1,1,0,0,0,0
90,Shellder,シェルダー (Shellder),1,Primera,Bivalvo,agua,Caparazón|Encadenado1,Funda,4,"0,3",Agua 3,50%|50%,Morado,264,251,328,207,163,196,0,0,1,0,0,0
91,Cloyster,パルシェン (Parshen),0,Primera,Bivalvo,agua|hielo,Caparazón|Encadenado1,Funda,"132,5","1,5",Agua 3,50%|50%,Morado,304,317,504,295,207,262,0,0,2,0,0,0
92,Gastly,ゴース (Ghos),1,Primera,Gas,fantasma|veneno,Levitación,,"0,1","1,3",Amorfo,50%|50%,Morado,264,185,174,328,185,284,0,0,0,1,0,0
93,Haunter,ゴースト (Ghost),0,Primera,Gas,fantasma|veneno,Levitación,,"0,1","1,6",Amorfo,50%|50%,Morado,294,218,207,361,229,317,0,0,0,2,0,0
94,Gengar,ゲンガー (Gangar),0,Primera,Sombra,fantasma|veneno,Levitación2|Cuerpo maldito1,,"40,5","1,5",Amorfo,50%|50%,Morado,324,251,240,394,273,350,0,0,0,3,0,0
95,Onix,イワーク (Iwark),1,Primera,Serpiente Roca1,roca|tierra,Cabeza roca|Robustez,Armadura frágil,210,"8,8",Mineral,50%|50%,Gris,274,207,460,174,207,262,0,0,1,0,0,0
96,Drowzee,スリープ (Sleepe),1,Primera,Hipnosis,psíquico,Insomnio|Alerta1,Fuerza mental,"32,4",1,Humanoide,50%|50%,Amarillo,324,214,207,203,306,201,0,0,0,0,1,0
97,Hypno,スリーパー (Sleeper),1,Primera,Hipnosis,psíquico,Insomnio|Alerta1,Fuerza mental,"75,6","1,6",Humanoide,50%|50%,Amarillo,374,269,262,269,361,256,0,0,0,0,2,0
98,Krabby,クラブ (Crab),1,Primera,Cangrejo,agua,Corte fuerte|Caparazón,Potencia bruta,"6,5","0,4",Agua 3,50%|50%,Rojo,264,339,306,163,163,218,0,1,0,0,0,0
99,Kingler,キングラー (Kingler),0,Primera,Tenaza,agua,Corte fuerte|Caparazón,Potencia bruta,60,"1,3",Agua 3,50%|50%,Rojo,314,394,361,218,218,273,0,2,0,0,0,0
100,Voltorb,ビリリダマ (Biriridama),1,Primera,Bola,eléctrico,Insonorizar|Electricidad estática,Detonación,"10,4","0,5",Mineral,Sin sexo,Rojo,284,174,218,229,229,328,0,0,0,0,0,1
101,Electrode,マルマイン (Marumine),0,Primera,Bola,eléctrico,Insonorizar|Electricidad estática,Detonación,"66,6","1,2",Mineral,Sin sexo,Rojo,324,218,262,284,284,438,0,0,0,0,0,2
102,Exeggcute,タマタマ (Tamatama),1,Primera,Huevo,planta|psíquico,Clorofila,Cosecha,"2,5","0,4",Planta,50%|50%,Rosa,324,196,284,240,207,196,0,0,1,0,0,0
103,Exeggutor,ナッシー (Nassy),0,Primera,Coco,planta|psíquico,Clorofila,Cosecha,120,2,Planta,50%|50%,Amarillo,394,317,295,383,273,229,0,0,0,2,0,0
104,Cubone,カラカラ (Karakara),1,Primera,Solitario,tierra,Cabeza roca|Pararrayos,Armadura batalla,"6,5","0,4",Monstruo,50%|50%,Marrón,304,218,317,196,218,185,0,0,1,0,0,0
105,Marowak,ガラガラ (Garagara),1,Primera,Apilahueso,tierra,Cabeza roca|Pararrayos,Armadura batalla,45,1,Monstruo,50%|50%,Marrón,324,284,350,218,284,207,0,0,2,0,0,0
106,Hitmonlee,サワムラー (Sawamular),0,Primera,Patada1,lucha,Flexibilidad|Audaz2,Liviano,"49,8","1,5",Humanoide,100%|0%,Marrón,304,372,225,185,350,300,0,2,0,0,0,0
107,Hitmonchan,エビワラー (Ebiwalar),0,Primera,Puñetazo1,lucha,Vista lince|Puño férreo2,Fuerza mental,"50,2","1,4",Humanoide,100%|0%,Marrón,304,339,282,185,350,276,0,0,0,0,2,0
108,Lickitung,ベロリンガ (Beroringa),1,Primera,Lametazo2,normal,Despiste|Ritmo propio,Aclimatación,"65,5","1,2",Monstruo,50%|50%,Rosa,384,229,273,240,273,174,2,0,0,0,0,0
109,Koffing,ドガース (Dogars),1,Primera,Gas Venenoso1,veneno,Levitación|Gas reactivo2,Hedor3,1,"0,6",Amorfo,50%|50%,Morado,284,251,317,240,207,185,0,0,1,0,0,0
110,Weezing,マタドガス (Matadogas),0,Primera,Gas Venenoso1,veneno,Levitación|Gas reactivo2,Hedor3,"9,5","1,2",Amorfo,50%|50%,Morado,334,306,372,295,262,240,0,0,2,0,0,0
111,Rhyhorn,サイホーン (Sihorn),1,Primera,Punzante3,tierra|roca,Pararrayos|Cabeza roca,Audaz,115,1,Monstruo|Campo,50%|50%,Gris,364,295,317,174,174,163,0,0,1,0,0,0
112,Rhydon,サイドン (Saidon),1,Primera,Taladro,tierra|roca,Pararrayos|Cabeza roca,Audaz,120,"1,9",Monstruo|Campo,50%|50%,Gris,414,394,372,207,207,196,0,2,0,0,0,0
113,Chansey,ラッキー (Lucky),1,Primera,Huevo,normal,Cura natural|Dicha,Alma cura,"34,6","1,1",Hada,0%|100%,Rosa,704,119,119,185,339,218,2,0,0,0,0,0
114,Tangela,モンジャラ (Monjara),1,Primera,Enredadera,planta,Clorofila|Defensa hoja2,Regeneración,35,1,Planta,50%|50%,Azul,334,229,361,328,196,240,0,0,1,0,0,0
115,Kangaskhan,ガルーラ (Garura),1,Primera,Maternal1,normal,Madrugar|Intrépido2,Fuerza mental,80,"2,2",Monstruo,0%|100%,Marrón,414,317,284,196,284,306,2,0,0,0,0,0
116,Horsea,タッツー (Tattu),1,Primera,Dragón,agua,Nado rápido|Francotirador1,Humedad,8,"0,4",Agua 1|Dragón,50%|50%,Azul,264,196,262,262,163,240,0,0,0,1,0,0
117,Seadra,シードラ (Seadra),1,Primera,Dragón,agua,Punto tóxico|Francotirador1,Humedad,25,"1,2",Agua 1|Dragón,50%|50%,Azul,314,251,317,317,207,295,0,0,1,1,0,0
118,Goldeen,トサキント (Tosakinto),1,Primera,Pez color,agua,Nado rápido|Velo agua,Pararrayos,15,"0,6",Agua 2,50%|50%,Rojo,294,256,240,185,218,247,0,1,0,0,0,0
119,Seaking,アズマオウ (Azumao),0,Primera,Pez color,agua,Nado rápido|Velo agua,Pararrayos,39,"1,3",Agua 2,50%|50%,Rojo,364,311,251,251,284,258,0,2,0,0,0,0
120,Staryu,ヒトデマン (Hitodeman),1,Primera,Estrella1,agua,Iluminación|Cura natural,Cálculo final,"34,5","0,8",Agua 3,Sin sexo,Marrón,264,207,229,262,229,295,0,0,0,0,0,1
121,Starmie,スターミー (Starmie),0,Primera,Misterioso,agua|psíquico,Iluminación|Cura natural,Cálculo final,80,"1,1",Agua 3,Sin sexo,Morado,324,273,295,328,295,361,0,0,0,0,0,2
122,Mr. Mime,バリヤード (Barrierd),0,Primera,Barrera,psíquico|hada,Insonorizar|Filtro2,Experto,"54,5","1,3",Humanoide,50%|50%,Rosa,284,207,251,328,372,306,0,0,0,0,2,0
123,Scyther,ストライク (Strike),1,Primera,Mantis,bicho|volador,Enjambre|Experto2,Impasible,56,"1,5",Bicho,50%|50%,Verde,344,350,284,229,284,339,0,1,0,0,0,0
124,Jynx,ルージュラ (Rougela),0,Primera,Forma Humana1,hielo|psíquico,Despiste|Alerta2,Piel seca,"40,6","1,4",Humanoide,0%|100%,Rojo,334,218,185,361,317,317,0,0,0,2,0,0
125,Electabuzz,エレブー (Eleboo),1,Primera,Eléctrico,eléctrico,Electricidad estática,Espíritu vital,30,"1,1",Humanoide,75%|25%,Amarillo,334,291,234,317,295,339,0,0,0,0,0,2
126,Magmar,ブーバー (Boober),1,Primera,Escupefuego2,fuego,Cuerpo llama,Espíritu vital,"44,5","1,3",Humanoide,75%|25%,Rojo,334,317,234,328,295,313,0,0,0,2,0,0
127,Pinsir,カイロス (Kailios),1,Primera,Escarabajo,bicho,Corte fuerte|Rompemoldes1,Autoestima,55,"1,5",Bicho,50%|50%,Marrón,334,383,328,229,262,295,0,2,0,0,0,0
128,Tauros,ケンタロス (Kentauros),1,Primera,Toro Bravo,normal,Intimidación|Irascible1,Potencia bruta,"88,4","1,4",Campo,100%|0%,Marrón,354,328,317,196,262,350,0,1,0,0,0,1
129,Magikarp,コイキング (Koiking),1,Primera,Pez,agua,Nado rápido,Cobardía,10,"0,9",Agua 2|Dragón,50%|50%,Rojo,244,130,229,141,152,284,0,0,0,0,0,1
130,Gyarados,ギャラドス (Gyarados),0,Primera,Atrocidad,agua|volador,Intimidación,Autoestima,235,"6,5",Agua 2|Dragón,50%|50%,Azul,394,383,282,240,328,287,0,2,0,0,0,0
131,Lapras,ラプラス (Laplace),1,Primera,Transporte,agua|hielo,Absorbe agua|Caparazón,Hidratación,220,"2,5",Monstruo|Agua 1,50%|50%,Azul,464,295,284,295,317,240,2,0,0,0,0,0
132,Ditto,メタモン (Metamon),1,Primera,Transformación1,normal,Flexibilidad,Impostor,4,"0,3",Ditto,Sin sexo,Morado,300,214,214,214,214,214,1,0,0,0,0,0
